DateTime,Role,Content
2023-07-09 21:20:37,Initializer,All actors are created !
2023-07-09 21:20:38,Coordinator,Prowider is set !
2023-07-09 21:21:47,Initializer,All actors are created !
2023-07-09 21:21:48,Coordinator,Prowider is set !
2023-07-09 21:22:06,Initializer,All actors are created !
2023-07-09 21:22:07,Coordinator,Prowider is set !
2023-07-09 21:22:35,Initializer,All actors are created !
2023-07-09 21:22:36,Coordinator,Prowider is set !
